               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,              0.0455,            0.047849,           0.0033644,              0.7803,              0.6874,             0.75831,              0.3757,            0.028357,            0.032578,            0.006065,            0.006535,            0.006535,            0.006535
                  37,            0.045592,             0.04933,            0.003408,             0.78497,             0.72537,             0.78368,             0.37957,            0.028663,             0.03254,           0.0042992,            0.006436,            0.006436,            0.006436
                  38,            0.045776,            0.051831,           0.0031763,             0.77911,             0.73245,             0.78132,             0.39771,             0.02856,            0.032581,           0.0043234,            0.006337,            0.006337,            0.006337
                  39,            0.045211,             0.04856,           0.0034912,             0.80693,             0.70688,             0.77946,             0.39323,            0.027607,            0.032509,           0.0046297,            0.006238,            0.006238,            0.006238
                  40,            0.044583,            0.048703,           0.0035975,             0.78847,             0.75174,             0.77406,             0.39782,            0.027973,            0.032213,           0.0050675,            0.006139,            0.006139,            0.006139
                  41,            0.044471,            0.047424,           0.0033115,             0.80162,             0.73462,             0.78425,             0.39102,            0.028124,            0.033007,           0.0044004,             0.00604,             0.00604,             0.00604
                  42,             0.04532,            0.047026,           0.0032731,             0.80456,             0.74967,             0.79258,             0.40403,            0.027794,             0.03198,           0.0043318,            0.005941,            0.005941,            0.005941
                  43,            0.044883,             0.04788,           0.0039871,              0.7669,             0.72304,             0.77712,              0.4008,            0.027913,            0.032273,           0.0056045,            0.005842,            0.005842,            0.005842
                  44,            0.044569,            0.048406,           0.0035013,             0.78158,             0.76126,             0.79262,             0.40162,            0.027704,            0.032439,           0.0045548,            0.005743,            0.005743,            0.005743
                  45,             0.04431,            0.048349,           0.0033292,             0.78737,             0.74827,             0.80731,             0.39759,            0.028962,            0.032449,           0.0043691,            0.005644,            0.005644,            0.005644
                  46,            0.043832,            0.048116,           0.0033803,             0.82045,              0.7324,             0.79455,             0.40799,            0.027589,            0.032291,           0.0046405,            0.005545,            0.005545,            0.005545
                  47,             0.04409,            0.047666,           0.0035504,             0.81671,              0.7666,             0.81133,             0.42509,            0.027954,            0.032206,           0.0039852,            0.005446,            0.005446,            0.005446
                  48,            0.043179,            0.046978,           0.0033559,             0.81507,             0.75394,             0.80048,             0.40343,            0.027512,            0.032633,           0.0041374,            0.005347,            0.005347,            0.005347
                  49,            0.043596,            0.047971,           0.0032218,             0.81644,             0.74642,             0.80512,             0.41983,            0.027063,            0.032198,           0.0044385,            0.005248,            0.005248,            0.005248
                  50,            0.043283,            0.046307,           0.0031394,             0.81745,             0.75215,             0.80479,             0.42085,            0.027213,            0.032435,           0.0039364,            0.005149,            0.005149,            0.005149
                  51,            0.044093,            0.047865,            0.002766,             0.82562,             0.72991,             0.79787,             0.40808,            0.027586,            0.031997,           0.0041586,             0.00505,             0.00505,             0.00505
                  52,            0.043074,            0.048042,           0.0031478,             0.82022,             0.76878,             0.81358,              0.4339,            0.026717,            0.031818,           0.0043108,            0.004951,            0.004951,            0.004951
                  53,            0.042592,            0.046024,           0.0030174,             0.79597,             0.75601,             0.80959,             0.42416,            0.026936,            0.031999,           0.0039679,            0.004852,            0.004852,            0.004852
                  54,            0.043374,             0.04782,           0.0030882,             0.83488,             0.75045,             0.81935,             0.42221,            0.028829,            0.032161,            0.003732,            0.004753,            0.004753,            0.004753
                  55,            0.043528,            0.046868,           0.0031398,             0.81212,             0.73607,             0.79973,             0.41257,            0.026543,            0.032032,           0.0050277,            0.004654,            0.004654,            0.004654
                  56,            0.043293,            0.047498,            0.002908,             0.80082,             0.76142,             0.81586,             0.42912,            0.027229,            0.032165,           0.0036566,            0.004555,            0.004555,            0.004555
                  57,            0.043346,            0.046325,           0.0028484,             0.82698,             0.77526,             0.81974,              0.4346,              0.0274,            0.031879,           0.0038391,            0.004456,            0.004456,            0.004456
                  58,            0.042569,            0.048798,           0.0029316,             0.83254,             0.75913,              0.8086,             0.41896,            0.026844,            0.031886,           0.0038531,            0.004357,            0.004357,            0.004357
                  59,            0.042078,            0.046563,           0.0029821,             0.79452,             0.77826,             0.81252,             0.43737,            0.026402,            0.031764,           0.0039372,            0.004258,            0.004258,            0.004258
                  60,            0.042066,            0.046374,            0.002765,              0.8479,             0.75325,             0.82152,             0.43755,            0.026701,            0.031675,           0.0038022,            0.004159,            0.004159,            0.004159
                  61,            0.042305,            0.045655,           0.0029148,             0.83531,             0.76628,              0.8252,              0.4424,            0.026471,            0.031688,           0.0035523,             0.00406,             0.00406,             0.00406
                  62,            0.042441,            0.045877,           0.0026933,             0.80299,                0.77,             0.81675,             0.43981,            0.026765,            0.031764,           0.0040511,            0.003961,            0.003961,            0.003961
                  63,            0.041859,            0.047584,           0.0027689,             0.82627,             0.77377,             0.82589,              0.4322,            0.026886,            0.031734,           0.0035359,            0.003862,            0.003862,            0.003862
                  64,            0.042279,            0.046704,           0.0024852,              0.8186,             0.77988,             0.82962,             0.43654,             0.02693,            0.031834,           0.0034511,            0.003763,            0.003763,            0.003763
                  65,            0.041321,            0.046406,           0.0026856,             0.82981,             0.77968,             0.82651,             0.44411,            0.026747,            0.031569,           0.0035915,            0.003664,            0.003664,            0.003664
                  66,            0.042085,            0.048826,           0.0024668,             0.84276,             0.75608,             0.82129,             0.42927,            0.026421,            0.031701,           0.0037231,            0.003565,            0.003565,            0.003565
                  67,             0.04148,            0.046058,           0.0027438,             0.83889,             0.77003,             0.82889,             0.44077,            0.026153,            0.031374,           0.0033822,            0.003466,            0.003466,            0.003466
                  68,             0.04146,            0.046952,           0.0029496,             0.78321,             0.77955,             0.81809,              0.4318,            0.026498,            0.031927,           0.0038096,            0.003367,            0.003367,            0.003367
                  69,            0.040782,            0.046461,           0.0027056,             0.84143,             0.75535,             0.82703,             0.44386,            0.026419,            0.031503,           0.0034521,            0.003268,            0.003268,            0.003268
                  70,            0.042131,            0.047256,           0.0026235,             0.82759,             0.78822,             0.83336,             0.44699,            0.026736,            0.031736,            0.003381,            0.003169,            0.003169,            0.003169
                  71,            0.040823,            0.046922,           0.0026577,              0.8078,             0.78322,             0.83047,             0.44592,            0.026143,             0.03161,           0.0035293,             0.00307,             0.00307,             0.00307
                  72,            0.041544,            0.046036,           0.0026173,             0.81779,             0.75847,              0.8201,             0.43767,            0.026193,             0.03148,           0.0037708,            0.002971,            0.002971,            0.002971
